country,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,daily_vaccinations_raw,daily_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,daily_vaccinations_per_million,vaccines,source_name,source_website
Bulgaria,BGR,2021-01-30 00:00:00,41020,27957,13063,215,2129,0.59,0.4,0.19,306,Moderna, Pfizer/BioNTech,Ministry of Health,https://coronavirus.bg/bg/statistika
Bulgaria,BGR,2021-01-31 00:00:00,41125,28041,13084,105,2140,0.59,0.4,0.19,308,Moderna, Pfizer/BioNTech,Ministry of Health,https://coronavirus.bg/bg/statistika
Bulgaria,BGR,2021-02-01 00:00:00,42634,28978,13656,1509,2262,0.61,0.42,0.2,326,Moderna, Pfizer/BioNTech,Ministry of Health,https://coronavirus.bg/bg/statistika
Bulgaria,BGR,2021-02-02 00:00:00,45917,30817,15100,3283,2399,0.66,0.44,0.22,345,Moderna, Pfizer/BioNTech,Ministry of Health,https://coronavirus.bg/bg/statistika
Bulgaria,BGR,2021-02-03 00:00:00,50124,33691,16433,4207,2458,0.72,0.48,0.24,354,Moderna, Pfizer/BioNTech,Ministry of Health,https://coronavirus.bg/bg/statistika
Chile,CHL,2021-01-14 00:00:00,18526,12787,5739,3914,1038,0.1,0.07,0.03,54,Pfizer/BioNTech,Department of Statistics and Health Information,https://informesdeis.minsal.cl/SASVisualAnalytics/?reportUri=%2Freports%2Freports%2F1a8cc7ff-7df0-474f-a147-929ee45d1900&sectionIndex=0&sso_guest=true&reportViewOnly=true&reportContextBar=false&sas-welcome=false
Chile,CHL,2021-01-15 00:00:00,21876,13755,8121,3350,1437,0.11,0.07,0.04,75,Pfizer/BioNTech,Department of Statistics and Health Information,https://informesdeis.minsal.cl/SASVisualAnalytics/?reportUri=%2Freports%2Freports%2F1a8cc7ff-7df0-474f-a147-929ee45d1900&sectionIndex=0&sso_guest=true&reportViewOnly=true&reportContextBar=false&sas-welcome=false
Chile,CHL,2021-01-16 00:00:00,21937,13766,8171,61,1366,0.11,0.07,0.04,71,Pfizer/BioNTech,Department of Statistics and Health Information,https://informesdeis.minsal.cl/SASVisualAnalytics/?reportUri=%2Freports%2Freports%2F1a8cc7ff-7df0-474f-a147-929ee45d1900&sectionIndex=0&sso_guest=true&reportViewOnly=true&reportContextBar=false&sas-welcome=false
Chile,CHL,2021-01-17 00:00:00,21972,13781,8191,35,1291,0.11,0.07,0.04,68,Pfizer/BioNTech,Department of Statistics and Health Information,https://informesdeis.minsal.cl/SASVisualAnalytics/?reportUri=%2Freports%2Freports%2F1a8cc7ff-7df0-474f-a147-929ee45d1900&sectionIndex=0&sso_guest=true&reportViewOnly=true&reportContextBar=false&sas-welcome=false
Chile,CHL,2021-01-18 00:00:00,32385,24025,8360,10413,2699,0.17,0.13,0.04,141,Pfizer/BioNTech,Department of Statistics and Health Information,https://informesdeis.minsal.cl/SASVisualAnalytics/?reportUri=%2Freports%2Freports%2F1a8cc7ff-7df0-474f-a147-929ee45d1900&sectionIndex=0&sso_guest=true&reportViewOnly=true&reportContextBar=false&sas-welcome=false
Chile,CHL,2021-01-19 00:00:00,50924,42564,8360,18539,5267,0.27,0.22,0.04,276,Pfizer/BioNTech,Department of Statistics and Health Information,https://informesdeis.minsal.cl/SASVisualAnalytics/?reportUri=%2Freports%2Freports%2F1a8cc7ff-7df0-474f-a147-929ee45d1900&sectionIndex=0&sso_guest=true&reportViewOnly=true&reportContextBar=false&sas-welcome=false
Chile,CHL,2021-01-20 00:00:00,54036,45676,8360,3112,5632,0.28,0.24,0.04,295,Pfizer/BioNTech,Department of Statistics and Health Information,https://informesdeis.minsal.cl/SASVisualAnalytics/?reportUri=%2Freports%2Freports%2F1a8cc7ff-7df0-474f-a147-929ee45d1900&sectionIndex=0&sso_guest=true&reportViewOnly=true&reportContextBar=false&sas-welcome=false
Chile,CHL,2021-01-21 00:00:00,62822,54458,8364,8786,6328,0.33,0.28,0.04,331,Pfizer/BioNTech,Department of Statistics and Health Information,https://informesdeis.minsal.cl/SASVisualAnalytics/?reportUri=%2Freports%2Freports%2F1a8cc7ff-7df0-474f-a147-929ee45d1900&sectionIndex=0&sso_guest=true&reportViewOnly=true&reportContextBar=false&sas-welcome=false
Chile,CHL,2021-01-22 00:00:00,63047,54683,8364,225,5882,0.33,0.29,0.04,308,Pfizer/BioNTech,Department of Statistics and Health Information,https://informesdeis.minsal.cl/SASVisualAnalytics/?reportUri=%2Freports%2Freports%2F1a8cc7ff-7df0-474f-a147-929ee45d1900&sectionIndex=0&sso_guest=true&reportViewOnly=true&reportContextBar=false&sas-welcome=false
Chile,CHL,2021-01-23 00:00:00,63939,55575,8364,892,6000,0.33,0.29,0.04,314,Pfizer/BioNTech,Department of Statistics and Health Information,https://informesdeis.minsal.cl/SASVisualAnalytics/?reportUri=%2Freports%2Freports%2F1a8cc7ff-7df0-474f-a147-929ee45d1900&sectionIndex=0&sso_guest=true&reportViewOnly=true&reportContextBar=false&sas-welcome=false
Chile,CHL,2021-01-26 00:00:00,66569,56551,10018,2283,2235,0.35,0.3,0.05,117,Pfizer/BioNTech,Department of Statistics and Health Information,https://informesdeis.minsal.cl/SASVisualAnalytics/?reportUri=%2Freports%2Freports%2F1a8cc7ff-7df0-474f-a147-929ee45d1900&sectionIndex=0&sso_guest=true&reportViewOnly=true&reportContextBar=false&sas-welcome=false
Chile,CHL,2021-01-27 00:00:00,67096,56764,10332,527,1866,0.35,0.3,0.05,98,Pfizer/BioNTech,Department of Statistics and Health Information,https://informesdeis.minsal.cl/SASVisualAnalytics/?reportUri=%2Freports%2Freports%2F1a8cc7ff-7df0-474f-a147-929ee45d1900&sectionIndex=0&sso_guest=true&reportViewOnly=true&reportContextBar=false&sas-welcome=false
Chile,CHL,2021-01-28 00:00:00,67111,56764,10347,15,613,0.35,0.3,0.05,32,Pfizer/BioNTech,Department of Statistics and Health Information,https://informesdeis.minsal.cl/SASVisualAnalytics/?reportUri=%2Freports%2Freports%2F1a8cc7ff-7df0-474f-a147-929ee45d1900&sectionIndex=0&sso_guest=true&reportViewOnly=true&reportContextBar=false&sas-welcome=false
Chile,CHL,2021-01-29 00:00:00,67115,56768,10347,4,581,0.35,0.3,0.05,30,Pfizer/BioNTech,Department of Statistics and Health Information,https://informesdeis.minsal.cl/SASVisualAnalytics/?reportUri=%2Freports%2Freports%2F1a8cc7ff-7df0-474f-a147-929ee45d1900&sectionIndex=0&sso_guest=true&reportViewOnly=true&reportContextBar=false&sas-welcome=false
Chile,CHL,2021-01-30 00:00:00,67123,56771,10352,8,455,0.35,0.3,0.05,24,Pfizer/BioNTech,Department of Statistics and Health Information,https://informesdeis.minsal.cl/SASVisualAnalytics/?reportUri=%2Freports%2Freports%2F1a8cc7ff-7df0-474f-a147-929ee45d1900&sectionIndex=0&sso_guest=true&reportViewOnly=true&reportContextBar=false&sas-welcome=false
Chile,CHL,2021-02-03 00:00:00,138684,128287,10397,61285,10227,0.73,0.67,0.05,535,Pfizer/BioNTech,Department of Statistics and Health Information,https://informesdeis.minsal.cl/SASVisualAnalytics/?reportUri=%2Freports%2Freports%2F1a8cc7ff-7df0-474f-a147-929ee45d1900&sectionIndex=0&sso_guest=true&reportViewOnly=true&reportContextBar=false&sas-welcome=false
Czechia,CZE,2021-01-17 00:00:00,120471,119850,621,3038,10132,1.12,1.12,0.01,946,Moderna, Pfizer/BioNTech,Ministry of Health,https://onemocneni-aktualne.mzcr.cz/covid-19
Czechia,CZE,2021-01-18 00:00:00,134135,131741,2394,13664,10699,1.25,1.23,0.02,999,Moderna, Pfizer/BioNTech,Ministry of Health,https://onemocneni-aktualne.mzcr.cz/covid-19
Czechia,CZE,2021-01-19 00:00:00,148803,143732,5071,14668,10894,1.39,1.34,0.05,1017,Moderna, Pfizer/BioNTech,Ministry of Health,https://onemocneni-aktualne.mzcr.cz/covid-19
Czechia,CZE,2021-01-20 00:00:00,164173,156542,7631,15370,11170,1.53,1.46,0.07,1043,Moderna, Pfizer/BioNTech,Ministry of Health,https://onemocneni-aktualne.mzcr.cz/covid-19
Czechia,CZE,2021-01-21 00:00:00,180667,171331,9336,16494,11429,1.69,1.6,0.09,1067,Moderna, Pfizer/BioNTech,Ministry of Health,https://onemocneni-aktualne.mzcr.cz/covid-19
Czechia,CZE,2021-01-22 00:00:00,195937,185609,10328,15270,11687,1.83,1.73,0.1,1091,Moderna, Pfizer/BioNTech,Ministry of Health,https://onemocneni-aktualne.mzcr.cz/covid-19
